"Région","Département","COMMUNE","POPULATION"
"DAKAR","DAKAR","GOREE","1691"
"DAKAR","DAKAR","DAKAR-PLATEAU","34951"
"DAKAR","DAKAR","MEDINA","82544"
"DAKAR","DAKAR","GUEULE TAPEE -FASS-COLOBANE","59227"
"DAKAR","DAKAR","FANN/POINT E/ AMITIE","20115"
"DAKAR","DAKAR","GRAND DAKAR","47334"
"DAKAR","DAKAR","BISCUITERIE","74025"
"DAKAR","DAKAR","HLM","42975"
"DAKAR","DAKAR","HANN/ BEL AIR","86908"
"DAKAR","DAKAR","SICAP LIBERTE","41079"
"DAKAR","DAKAR","DIEUPPEUL DERKLE","38725"
"DAKAR","DAKAR","OUAKAM","100541"
"DAKAR","DAKAR","N’GOR","17706"
"DAKAR","DAKAR","YOFF","119351"
"DAKAR","DAKAR","MERMOZ/ SACRE -COEUR","38598"
"DAKAR","DAKAR","GRAND YOFF","186775"
"DAKAR","DAKAR","PATTE D’OIE","46821"
"DAKAR","DAKAR","PARCELLES ASSAINIES","167671"
"DAKAR","DAKAR","CAMBERENE","71432"
"DAKAR","PIKINE","PIKINE OUEST","57240"
"DAKAR","PIKINE","PIKINE EST","32717"
"DAKAR","PIKINE","PIKINE SUD","49088"
"DAKAR","PIKINE","DALIFORD","39096"
"DAKAR","PIKINE","DJIDAH THIAROYE KAO","100128"
"DAKAR","PIKINE","GUINAW RAIL NORD","30303"
"DAKAR","PIKINE","GUINAW RAIL SUD","40185"
"DAKAR","PIKINE","THIAROYE /MER","61079"
"DAKAR","PIKINE","DIACK SAO","40892"
"DAKAR","PIKINE","DIAMAGUENE/SICAP M’BAO","139376"
"DAKAR","PIKINE","THIAROYE GARE","25037"
"DAKAR","PIKINE","M’BAO","149456"
"DAKAR","RUFISQUE","RUFISQUE NORD","126253"
"DAKAR","RUFISQUE","RUFISQUE  EST","84754"
"DAKAR","RUFISQUE","RUFISQUE OUEST","84452"
"DAKAR","RUFISQUE","COM. BARGNY","69242"
"DAKAR","RUFISQUE","COM. SENDOU","4045"
"DAKAR","RUFISQUE","YENE","34892"
"DAKAR","RUFISQUE","DIAMNIADIO","47759"
"DAKAR","RUFISQUE","SEBIKOTANE","42839"
"DAKAR","RUFISQUE","BAMBYLOR","61100"
"DAKAR","RUFISQUE","TIVAOUANE PEULH-NIAGHA","152043"
